crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count,native_voxel_nm,analysis_voxel_nm
crop1042,Liver,Chemical,Bile canaliculus,4.0,24,15,14368894.186761413,0.005643083355773396,0.0025239445180575758,0.009815457624694789,0.003195037283387649,-0.007367430730017474,0.012495111641089037,0.01303319919433496,0.007291513106637212,0.5629728004664959,0.23486600736846003,0.20216119216504397,1.5657347583119365,5.219512420528155,15.903501270584261,16.145988479318756,6.263530013528827,232,90,4.0,4.0
crop1041,Liver,Chemical,Space of Disse,4.0,50,9,15032154.591792215,0.00402176855453913,0.00179057288239278,0.00760589510443014,0.002126828728514713,-0.0050875071891563805,0.010455347475690465,0.010408010658657057,0.00581532222203736,0.509397349112533,0.21364916807928036,0.2769534828081862,1.2909834907626137,4.20568648204131,12.621569553774885,14.635293873316293,4.590160351176474,220,69,4.0,4.0
crop1031,Kidney,Chemical,PCT lateral,8.0,2,2,17632958.445586696,0.0017257186090090873,0.0007351439038867121,0.00327314913640235,6.912119301231825e-05,-0.003454485283247926,0.0040589273911875254,0.0047114312865244225,0.0025380052325156377,0.23979070966758712,0.20449816066821389,0.5557111296641989,0.6777472830196699,2.1093396265996787,5.991657879807403,7.7695413632809505,3.2325829029709063,137,57,4.0,8.0
crop1040,Liver,Chemical,Bile canaliculus,4.0,27,11,16598017.344019562,0.006437036509197819,0.0031902347054140797,0.01076697052262023,0.002928218638679627,-0.01803956615348605,0.010834760881060777,0.017070906020782994,0.007576735817206151,0.5429858121650083,0.2971211220306309,0.15989306580436033,1.9768946801854048,5.78774268130815,15.346743674472744,13.796828576186002,8.073253402659057,229,134,4.0,4.0
crop1042,Liver,Chemical,Bile canaliculus,8.0,24,17,17727105.32741355,0.007103948923181765,0.0032300197721008184,0.012202845496005222,0.005222721340020662,-0.006180439483443211,0.016237989953514005,0.012904343298163883,0.008972825723904404,0.6449105912202426,0.19581768607478905,0.1592717227049681,1.8857741118888887,6.105697750454002,17.83345420075525,12.74883833687777,4.794917073604471,226,85,4.0,8.0
crop1041,Liver,Chemical,Space of Disse,8.0,50,13,17497121.51135506,0.004946469801902874,0.002138080392315223,0.00962190421249287,0.003249769170422375,-0.004600655768781611,0.013806536715577689,0.011020607589058859,0.007483823820177647,0.5762480575243993,0.18867736980176858,0.23507457267383217,1.6048576430951755,5.094840419314451,14.742563307404712,13.259323817888534,3.7720490171579453,232,66,4.0,8.0
crop1040,Liver,Chemical,Bile canaliculus,8.0,27,17,19658068.391688414,0.007446002241389402,0.0037622767146957056,0.012388567238828026,0.004488999005642921,-0.01512610446904041,0.013801957526231977,0.01677148290644606,0.008626290524132321,0.6098420464176356,0.25614210047972835,0.13401585310263603,2.079661908211543,6.309963126920214,16.914844479236947,12.208727491327373,6.867409213871647,240,135,4.0,8.0
crop1036,Cortex,Chemical,,2.0,14,10,3126614.250253634,0.002604981464707368,0.001241109017922702,0.0045260146623215475,0.0014712594303068448,-0.0032320871707236048,0.006188149172242025,0.004229882923130965,0.0032849056443988453,0.43894604844240204,0.16594786375112022,0.39510608780647744,0.7781002584370297,2.9772843548487393,6.147436724296385,35.181826472861715,0.31983478611692473,110,1,2.0,2.0
crop1038,Liver,Chemical,Space of Disse,4.0,61,16,21672293.024475962,0.004249668415670566,0.0019203648523716432,0.007572192943601587,0.002330880021091935,-0.005315626195459442,0.010063235653402523,0.008706269391963667,0.005651828091229943,0.5229235323888528,0.2174385376423498,0.25963792996879825,1.299877991990326,4.448848983770446,14.112516369417923,15.088389568685562,4.614186412442068,327,100,4.0,4.0
crop1043,Liver,Chemical,Space of Disse,4.0,81,16,22107461.470103115,0.004884248063548116,0.0023109158111406305,0.00831700286966603,0.0030742265695447523,-0.005674349675072395,0.01088920485960121,0.009579968536923687,0.0060060870585254,0.569011801920318,0.21353823694225454,0.21744996113742687,1.3740051046880097,4.769859965105418,15.084295078386033,16.46502926137644,5.473265221501509,364,121,4.0,4.0
