crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1072,Liver,Rapid HPF,Bile canaliculus,8.0,165479,24.0,67.89032690311771,50.24134870442395,24.0,24.0,50.22333494023495,101.1331166241651,143.75140425906704,0.0,0.44572423086917373,0.6568325890294237,0.9352364952652602,1.0,8.0,8.0
crop1075,Liver,Rapid HPF,Bile canaliculus,8.0,277542,24.0,57.93262973685103,29.341599412211387,27.31370849898476,35.31370849898476,50.22333494023495,73.71034673418816,99.08131845707604,0.0,0.3608102557450764,0.8044656304271065,0.9941053966606855,1.0,8.0,8.0
crop1134,Kidney,Rapid HPF,Glomerular,8.0,682553,24.0,179.57366699028177,185.09126430779466,62.245811243945234,94.16263691415206,159.36651290049394,208.47942537826668,259.96620353760017,0.0,0.013289810461605179,0.18950469780368703,0.5024767307447188,0.9580340281267535,8.0,8.0
crop1071,Liver,Rapid HPF,Hepatocyte lateral,8.0,1140823,24.0,94.23407819911242,87.22955319734828,27.31370849898476,37.20225231898308,65.68882040742383,112.66210024238575,198.30196707451358,0.0,0.2826371838576186,0.596218694749317,0.8597135576684551,0.9608387979555111,8.0,8.0
crop1031,Kidney,Chemical,PCT lateral,8.0,110091,24.0,31.78882962044096,8.363589898414459,24.0,24.0,29.856406460551018,37.856406460551014,43.77708763999664,0.0,0.7967681281848652,1.0,1.0,1.0,4.0,8.0
crop1141,Cortex,Rapid HPF,,8.0,1058461,24.0,39.09905960975599,18.378552675287313,24.0,27.31370849898476,30.627416997969522,45.48446176226374,65.64607201529357,0.0,0.6817039078435577,0.9554900936359488,0.9999300871737362,1.0,8.0,8.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,8.0,258280,27.31370849898476,39.52611424046783,25.460065636836475,27.31370849898476,27.31370849898476,32.0,35.31370849898476,58.5329983228432,0.0,0.8631059315471581,0.9179224097878271,0.9987532910020133,1.0,8.0,8.0
crop1144,Kidney,Rapid HPF,DCT base,8.0,1319374,24.0,48.47868392729047,18.454750144930276,35.31370849898476,41.452324402816444,45.48446176226374,50.22333494023495,59.712812921102035,0.0,0.20823056995211364,0.962271501484795,0.9934976738968632,1.0,8.0,8.0
crop1116,Cortex,Rapid HPF,,8.0,5437062,24.0,43.55342548914231,33.61848360710648,24.0,24.0,27.31370849898476,50.22333494023495,86.85840609707267,0.0,0.6724289699105878,0.8823390279529643,0.9841476885862255,0.9999284540069618,8.0,8.0
crop1138,Kidney,Rapid HPF,PCT lateral,8.0,239692,24.0,43.16002009453827,12.464946875592728,27.31370849898476,35.31370849898476,41.88854381999832,48.51596081796784,57.29822128134704,0.0,0.3770880963903676,0.9845885553126512,1.0,1.0,8.0,8.0
