crop,tissue,prep,region_group,voxel_nm,n_ecs_voxels,n_narrow_voxels,narrow_fraction,full_percentiles_nm_p10,full_percentiles_nm_p25,full_percentiles_nm_p50,full_percentiles_nm_p75,full_percentiles_nm_p90,narrow_percentiles_nm_p10,narrow_percentiles_nm_p25,narrow_percentiles_nm_p50,narrow_percentiles_nm_p75,narrow_percentiles_nm_p90,narrow_mean_nm,narrow_std_nm,native_voxel_nm,analysis_voxel_nm
crop1034,Cortex,Chemical,,16.0,10841,10841,1.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.629627714536507,2.3606418492663104,2.0,16.0
crop1038,Liver,Chemical,Space of Disse,16.0,548491,484309,0.8829844063074873,16.0,22.627416997969522,53.0659966456864,112.0,222.8542124349459,16.0,22.627416997969522,45.254833995939045,86.16263691415206,129.98461447417537,60.10884356510532,45.30323228270586,4.0,16.0
crop1032,Kidney,Chemical,PCT base,16.0,302055,301946,0.9996391385674794,16.0,22.627416997969522,45.254833995939045,80.0,112.0,16.0,22.627416997969522,45.254833995939045,80.0,112.0,54.56814966592284,37.36474505618719,4.0,16.0
crop1046,Cortex,Chemical,,16.0,25803,25790,0.9994961826144246,16.0,16.0,16.0,22.627416997969522,35.77708763999664,16.0,16.0,16.0,22.627416997969522,35.77708763999664,23.906083475697354,22.25960690508193,2.0,16.0
crop1030,Kidney,Chemical,DCT base,16.0,243137,243137,1.0,16.0,16.0,27.712812921102035,48.0,59.86651818838306,16.0,16.0,27.712812921102035,48.0,59.86651818838306,34.018601724704304,18.966516829436376,4.0,16.0
crop1037,Cortex,Chemical,,16.0,126823,99918,0.7878539381657901,16.0,32.0,96.0,178.88543819998318,283.5207223467096,16.0,22.627416997969522,65.96969000988257,122.89833196589773,161.59207901379324,77.54757613527217,55.85986677028337,2.0,16.0
crop1045,Cortex,Chemical,,16.0,27538,27487,0.9981480136538601,16.0,16.0,16.0,45.254833995939045,112.0,16.0,16.0,16.0,45.254833995939045,112.0,39.656520781970535,42.129783955503285,2.0,16.0
crop1027,Kidney,Chemical,Glomerular,16.0,751190,736235,0.9800915880136849,16.0,22.627416997969522,45.254833995939045,73.32121111929344,121.85236969382254,16.0,22.627416997969522,45.254833995939045,71.55417527999327,113.13708498984761,54.75118703300783,39.811086147498656,4.0,16.0
crop1026,Kidney,Chemical,Glomerular,16.0,599129,598773,0.999405804092274,16.0,22.627416997969522,35.77708763999664,64.0,91.91300234460846,16.0,22.627416997969522,35.77708763999664,64.0,91.91300234460846,46.27112459914459,31.179931785199102,4.0,16.0
crop1033,Cortex,Chemical,,16.0,11380,11380,1.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.204009794367483,1.2363190776344302,2.0,16.0
