crop,tissue,prep,region_group,anatomy,native_voxel_nm,analysis_voxel_nm,run,metric_family,metric,value
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_voxels,7583400.0
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_primary_voxels,7583400.0
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_voxels,19416600.0
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_fraction,0.28086666666666665
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_fraction,0.7191333333333333
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,ecs_volume_um3,3.8827008
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,cell_volume_um3,9.9412992
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_volume_um3,13.824
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,total_voxels,54000000.0
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_voxels,5863208.0
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_primary_voxels,5863208.0
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_voxels,48136792.0
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_fraction,0.10857792592592592
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_fraction,0.891422074074074
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,ecs_volume_um3,3.001962496
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,cell_volume_um3,24.646037504
crop1144,Kidney,Rapid HPF,DCT base,DCT base,8.0,8.0,native,volume_fraction,total_volume_um3,27.648
crop1039,Liver,Chemical,Bile canaliculus,Bile canaliculus,4.0,4.0,native,volume_fraction,total_voxels,64000000.0
crop1039,Liver,Chemical,Bile canaliculus,Bile canaliculus,4.0,4.0,native,volume_fraction,ecs_voxels,12295008.0
crop1039,Liver,Chemical,Bile canaliculus,Bile canaliculus,4.0,4.0,native,volume_fraction,ecs_primary_voxels,12295008.0
crop1039,Liver,Chemical,Bile canaliculus,Bile canaliculus,4.0,4.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1039,Liver,Chemical,Bile canaliculus,Bile canaliculus,4.0,4.0,native,volume_fraction,cell_voxels,51704992.0
crop1039,Liver,Chemical,Bile canaliculus,Bile canaliculus,4.0,4.0,native,volume_fraction,ecs_fraction,0.1921095
