crop,tissue,prep,region_group,anatomy,voxel_nm,patch_faces,ecs_frac,gap_bounded_frac,n_curvature_kept,n_deviation_kept,n_gap_kept,curvature_p10_nm-1,curvature_p50_nm-1,curvature_p90_nm-1,abs_curvature_p50_nm-1,abs_curvature_p90_nm-1,frac_convex,frac_concave,deviation_p10_nm,deviation_p50_nm,deviation_p90_nm,abs_deviation_p50_nm,abs_deviation_p90_nm,frac_protrusion,frac_indent,gap_p10_nm,gap_p50_nm,gap_p90_nm
crop1042,Liver,Chemical,Bile canaliculus,Bile canaliculus,16.0,80631,0.1742,0.099,39431,39431,36595,-0.013035424053668976,0.003612431464716792,0.0164659284055233,0.007756857667118311,0.02234971709549427,0.6417793106946311,0.3582206893053689,-5.616593837738037,2.2919094562530518,8.467016220092773,4.542792797088623,9.50279426574707,0.644822601506429,0.35517739849357105,35.7770881652832,59.866519927978516,148.37789916992188
crop1043,Liver,Chemical,Space of Disse,Space of Disse,16.0,110817,0.2642,0.106,53793,53793,50057,-0.006967446766793728,0.004276586230844259,0.014165323227643967,0.0063162920996546745,0.0170725267380476,0.6998308330080122,0.3001691669919878,-3.7856907844543457,3.0612902641296387,8.122626304626465,4.185070514678955,8.814072608947754,0.7021545554254272,0.2978454445745729,16.0,57.688819885253906,150.94369506835938
crop1044,Liver,Chemical,Hepatocyte lateral,Hepatocyte lateral,16.0,102152,0.2179,0.232,49416,49416,39696,-0.010860811918973923,0.002375331474468112,0.012755099684000015,0.006063072010874748,0.01741630770266056,0.6093977659057795,0.3906022340942205,-5.220325469970703,1.294022798538208,6.887422561645508,3.598722457885742,8.055352210998535,0.5943419135502671,0.4056580864497329,45.25483322143555,116.48175811767578,203.01724243164062
crop1118,Liver,Chemical,Hepatocyte lateral,Hepatocyte lateral,16.0,34401,0.0467,0.151,15997,15997,15012,-0.005467957817018032,-0.00018458419071976095,0.0026148068718612194,0.0015059871366247535,0.00629088981077075,0.4638994811527161,0.5361005188472838,-3.3473012447357178,-0.007755184080451727,1.3462598323822021,0.7867834568023682,3.796569347381592,0.497093204975933,0.502906795024067,22.627416610717773,22.627416610717773,100.9351577758789
crop1119,Liver,Chemical,Hepatocyte lateral,Hepatocyte lateral,16.0,36853,0.0436,0.219,17448,17448,14728,-0.006887534167617559,-0.00038667506305500865,0.005423190072178841,0.0024768190924078226,0.009845640510320663,0.452716643741403,0.5472833562585969,-3.9739108085632324,-0.1809900999069214,3.3341121673583984,1.4153058528900146,5.687699317932129,0.46125630444750115,0.5387436955524989,16.0,22.627416610717773,59.866519927978516
crop1120,Liver,Chemical,Hepatocyte lateral,Hepatocyte lateral,16.0,36766,0.0471,0.044,17412,17412,17896,-0.004491366911679506,0.0003489038208499551,0.00629222160205245,0.002329078037291765,0.008230670355260372,0.5449115552492534,0.4550884447507466,-2.260819911956787,0.2544330954551697,3.394634246826172,1.2478539943695068,4.404364109039307,0.558293131173903,0.44170686882609694,22.627416610717773,27.712812423706055,59.866519927978516
crop1121,Liver,Chemical,Hepatocyte lateral,Hepatocyte lateral,16.0,39789,0.0151,0.011,19131,19131,19953,-0.002366455039009452,2.5669100978120696e-06,0.0024826473090797663,0.001060693059116602,0.0035293030086904764,0.5018556269928388,0.49662850870315195,-0.9808399081230164,0.02450650930404663,1.035420298576355,0.5031275749206543,1.44038987159729,0.515341592180231,0.484658407819769,22.627416610717773,22.627416610717773,27.712812423706055
crop1122,Liver,Chemical,Hepatocyte lateral,Hepatocyte lateral,16.0,40354,0.0307,0.052,19689,19689,19589,-0.005409971810877323,2.384185791015625e-06,0.0055438196286559105,0.002341517945751548,0.008376880548894405,0.5062217481842654,0.47869368683020974,-3.0520124435424805,0.02255476824939251,3.0514004230499268,1.4643161296844482,4.369848251342773,0.5185636649906039,0.4814363350093961,16.0,27.712812423706055,86.16263580322266
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,16.0,360072,0.2796,0.107,175708,175708,162243,-0.009664317592978477,0.0007956065237522125,0.008987413719296455,0.0038135338108986616,0.014400162734091282,0.5614940697065586,0.43850593029344137,-5.218146800994873,0.49092233180999756,5.26085090637207,2.3592426776885986,7.345697402954102,0.5600769458419651,0.4399230541580349,27.712812423706055,97.32420349121094,249.41531372070312
crop1072,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,16.0,83069,0.039,0.152,39751,39751,35694,-0.010081546381115913,0.00015064983745105565,0.015518825501203537,0.0037520311307162046,0.019795365631580353,0.5177479811828634,0.4822520188171367,-4.538093566894531,0.033282000571489334,7.741161346435547,2.02541446685791,8.557811737060547,0.5095469296369902,0.4904530703630097,16.0,53.06599807739258,160.79800415039062
crop1073,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,16.0,165510,0.1416,0.048,81184,81184,79591,-0.0060459915548563,0.0007823638152331114,0.011961117386817932,0.003075310029089451,0.015188400633633137,0.5918284391013008,0.40817156089869927,-3.558295249938965,0.4557684361934662,7.090456485748291,1.8124938011169434,8.092889785766602,0.5949940875049271,0.4050059124950729,22.627416610717773,48.0,148.37789916992188
crop1074,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,16.0,103430,0.1014,0.072,50315,50315,48486,-0.008277538232505322,0.0005834659095853567,0.015365734696388245,0.004365391097962856,0.01876433938741684,0.5576666997913147,0.4423333002086853,-3.841092824935913,0.17305289208889008,7.873234748840332,2.2063281536102295,8.505817413330078,0.5401371360429296,0.45986286395707043,22.627416610717773,75.0466537475586,244.7529296875
crop1075,Liver,Rapid HPF,Bile canaliculus,Bile canaliculus,16.0,99083,0.0448,0.038,48370,48370,48120,-0.007729621138423681,0.00045070776832289994,0.013820233754813671,0.003346136538311839,0.017339523881673813,0.5418234442836469,0.45817655571635313,-4.062666416168213,0.15765804052352905,7.651577472686768,1.9211325645446777,8.336734771728516,0.5260492040520984,0.47395079594790157,27.712812423706055,50.59644317626953,112.0
crop1123,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,16.0,28893,0.0253,0.047,14024,14024,14029,-0.002931667724624276,5.9182941186008975e-05,0.003032779786735773,0.0015033893287181854,0.003950722981244326,0.5112664004563605,0.4887335995436395,-1.4080082178115845,0.07493865489959717,1.5504950284957886,0.7571429014205933,1.9495800733566284,0.5265259555048488,0.4734740444951512,16.0,27.712812423706055,73.32121276855469
crop1124,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,16.0,105775,0.0193,0.005,51905,51905,53157,-0.0027848167810589075,2.4963355826912448e-05,0.002822019625455141,0.0013043192448094487,0.003944702912122011,0.5056352952509392,0.4943647047490608,-1.3566603660583496,0.03277287259697914,1.5265864133834839,0.6705872416496277,2.038137435913086,0.5145747037857624,0.4854252962142375,22.627416610717773,27.712812423706055,45.25483322143555
crop1125,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,16.0,60008,0.0313,0.003,29118,29118,30293,-0.002907257294282317,0.0003618322662077844,0.004623085260391235,0.001746198395267129,0.005346154328435659,0.5605810838656501,0.4394189161343499,-1.4187484979629517,0.24279776215553284,2.540544271469116,0.9240175485610962,2.8282783031463623,0.5749708084346452,0.42502919156535474,16.0,22.627416610717773,32.0
crop1126,Liver,Rapid HPF,Hepatocyte lateral,Tight junction,16.0,121784,0.0211,0.018,59965,59965,60340,-0.0034891809336841106,5.507438618224114e-05,0.003696089144796133,0.0017858300125226378,0.004830831196159124,0.5144834486783957,0.4848494955390645,-1.9328029155731201,0.08029511570930481,2.1635241508483887,1.064111590385437,2.6398255825042725,0.5229717335112148,0.4770282664887851,22.627416610717773,32.0,50.59644317626953
crop1127,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,16.0,54519,0.0398,0.006,26717,26717,27481,-0.0027572258841246367,5.142856025486253e-05,0.0030300088692456484,0.0014359926572069526,0.0037165379617363214,0.5127446943893401,0.4872553056106599,-1.2192463874816895,0.06499456614255905,1.5304144620895386,0.6410534381866455,1.9007954597473145,0.5298873376501853,0.47011266234981475,22.627416610717773,35.7770881652832,53.06599807739258
