metric,column,label,group_type,group_value,n_chem,n_hpf,chem_median,chem_ci_lo,chem_ci_hi,hpf_median,hpf_ci_lo,hpf_ci_hi,diff_median,diff_ci_lo,diff_ci_hi,mw_u,mw_p,cliff_delta,direction
voronoi_gap,contact_fractions_p80,contact<80nm,region_group,Bile canaliculus,3,4,0.6585144590766119,0.6231666618830055,0.6640532464735652,0.6470707327980789,0.509387531356321,0.8044656304271065,0.011443726278532962,-0.14595117135049462,0.1491269277202909,7.0,0.8571428571428571,0.16666666666666666,Chem>HPF
voronoi_gap,contact_fractions_p80,contact<80nm,region_group,DCT base,2,3,0.6917049180478103,0.6747882379381518,0.7086215981574687,0.9296173238138762,0.9169413909625759,0.962271501484795,-0.23791240576606587,-0.2874832635466432,-0.20831979280510715,0.0,0.2,-1.0,HPF>Chem
sa_v,sa_v_ecs_per_nm,SA:V /nm,tissue,Cortex,7,3,0.018181639911573386,0.009517775344108012,0.023138239455061625,0.0193197229698897,0.010160637524087112,0.022888494329443846,-0.0011380830583163151,-0.013370718985335834,0.012977601930974513,10.0,0.9999999999999999,-0.047619047619047616,approx
sa_v,sa_v_ecs_per_nm,SA:V /nm,tissue,Kidney,7,4,0.01697291282570416,0.01399140601513813,0.03668901752344339,0.012280095879818383,0.0076154187785932755,0.01783749842521384,0.004692816945885778,-0.002314644896535942,0.028434876675480697,20.0,0.3151515151515151,0.42857142857142855,Chem>HPF
sa_v,sa_v_ecs_per_nm,SA:V /nm,tissue,Liver,7,10,0.010056355058418356,0.008851195528013984,0.014534286951350303,0.0027041494005396473,0.002104055308869571,0.004049664057090359,0.007352205657878709,0.005398343586332977,0.012384366897123996,65.0,0.00195392842451666,0.8571428571428571,Chem>HPF
sa_v,sa_v_ecs_per_nm,SA:V /nm,region_group,Bile canaliculus,3,4,0.010056355058418356,0.008851195528013984,0.012526355539085257,0.0028978524580160186,0.0018217876205887298,0.004759938191097961,0.007158502600402338,0.004801531470923625,0.010387304232316251,12.0,0.05714285714285714,1.0,Chem>HPF
sa_v,sa_v_ecs_per_nm,SA:V /nm,region_group,DCT base,2,3,0.017897984474447258,0.016933766533660317,0.018862202415234196,0.008254140847962691,0.0076154187785932755,0.016306050911674072,0.009643843626484567,0.0006277156219862447,0.01124678363664092,6.0,0.2,1.0,Chem>HPF
sa_v,cell_density_per_um3,cells/um3,tissue,Cortex,7,3,18.75,11.0,24.739583333333332,6.134033203125,3.399884259259259,6.218112244897959,12.615966796875,4.781887755102041,21.339699074074073,19.0,0.06666666666666667,0.8095238095238095,Chem>HPF
sa_v,cell_density_per_um3,cells/um3,tissue,Kidney,7,4,4.340277777777778,2.7488425925925926,30.381944444444446,1.5456200235776127,0.6872106481481481,4.774305555555556,2.794657754200165,-0.5550831443688589,29.409492055976433,21.0,0.2303030303030303,0.5,Chem>HPF
sa_v,cell_density_per_um3,cells/um3,tissue,Liver,7,10,3.41796875,1.46484375,3.90625,0.7269965277777778,0.31647858796296297,1.0127314814814814,2.6909722222222223,0.5967881944444444,3.41796875,61.0,0.012771742300565603,0.7428571428571429,Chem>HPF
sa_v,cell_density_per_um3,cells/um3,region_group,Bile canaliculus,3,4,3.41796875,1.46484375,3.662109375,0.8680555555555556,0.14467592592592593,1.0850694444444444,2.5499131944444446,0.48828125,3.273292824074074,12.0,0.04974599072150299,1.0,Chem>HPF
sa_v,cell_density_per_um3,cells/um3,region_group,DCT base,2,3,4.9560546875,4.296875,5.615234375,1.257694128787879,0.6872106481481481,4.774305555555556,3.698360558712121,-0.47743055555555625,4.928023726851852,5.0,0.4,0.6666666666666666,Chem>HPF
