crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1034,Cortex,Chemical,,16.0,6647,48.0,50.81043818470156,6.009580755751604,48.0,48.0,48.0,54.62741699796952,54.62741699796952,0.0,0.0,0.9932300285843237,1.0,1.0,2.0,16.0
crop1038,Liver,Chemical,Space of Disse,16.0,63612,48.0,149.4952030202433,140.58211548836567,54.62741699796952,66.34022991907156,100.4466698804699,176.0,292.2012688781922,0.0,0.0,0.35603345280764637,0.713135886310759,0.9196692447965793,4.0,16.0
crop1032,Kidney,Chemical,PCT base,16.0,58079,48.0,157.0493862222522,89.75446526499641,48.0,70.62741699796952,147.42069346837633,236.46834790983752,279.62133025687103,0.0,0.0,0.2898465882677043,0.5535563628850358,0.9657707605158491,4.0,16.0
crop1046,Cortex,Chemical,,16.0,15378,48.0,54.71242508715365,9.641619366416112,48.0,48.0,48.0,61.254833995939045,66.34022991907156,0.0,0.0,0.9752893744310054,1.0,1.0,2.0,16.0
crop1030,Kidney,Chemical,DCT base,16.0,67102,48.0,106.56153520177227,46.28780228508433,48.0,48.0,116.68045983814312,143.74876918229162,163.88225099390854,0.0,0.0,0.35908020625316683,0.8779470060504903,1.0,4.0,16.0
crop1037,Cortex,Chemical,,16.0,20145,48.0,200.7290665823428,206.8659760926016,48.0,59.712812921102035,79.48990056109866,326.14168804996484,513.795735734205,0.0,0.0,0.5091089600397121,0.6282948622486969,0.743608835939439,2.0,16.0
crop1045,Cortex,Chemical,,16.0,10842,48.0,51.33283390335526,6.395332927869275,48.0,48.0,48.0,54.62741699796952,54.62741699796952,0.0,0.0,0.9904999077660949,1.0,1.0,2.0,16.0
crop1027,Kidney,Chemical,Glomerular,16.0,125188,48.0,143.7760506654844,82.4058549951846,54.62741699796952,79.48990056109866,133.5553385958069,176.0,246.71259264344016,0.0,0.0,0.25492858740454355,0.6433843499376937,0.9514649966450458,4.0,16.0
crop1026,Kidney,Chemical,Glomerular,16.0,123472,48.0,134.66600165563173,72.95314414898274,54.62741699796952,75.71281292110203,114.59644256269408,182.16263691415207,241.1370849898476,0.0,0.0,0.28523875858494235,0.6859287935726318,0.9847414798496825,4.0,16.0
crop1033,Cortex,Chemical,,16.0,6003,48.0,49.091196260367056,3.230770854935542,48.0,48.0,48.0,48.0,54.62741699796952,0.0,0.0,0.9996668332500417,1.0,1.0,2.0,16.0
crop1145,Heart,Chemical,Cardiac interstitial,8.0,105677,37.20225231898308,84.45316649130194,27.98340401312207,59.83121960419024,66.28306628628832,76.81231704527967,91.08131845707604,120.93251483406945,0.0,0.0002271071283249903,0.5610208465418208,0.9651106674110733,1.0,8.0,8.0
crop1147,Heart,Chemical,Intercalated disc,8.0,155312,24.0,80.37285815529205,61.7641541037058,24.0,24.0,64.46625741703473,131.9311633902021,167.99199899978993,0.0,0.48474039353044196,0.5263598434119707,0.8739569382919543,1.0,8.0,8.0
crop1146,Heart,Chemical,Cardiac interstitial,8.0,243838,24.0,115.3881927427302,82.84304533479414,43.77708763999664,57.16041532081272,82.18393163823416,152.0,242.3252968525388,0.0,0.08163616827565844,0.4850023376175986,0.7676039009506311,0.9703983792517983,8.0,8.0
crop1028,Kidney,Chemical,PCT brush border,4.0,1329765,12.0,145.62557058467377,184.754859193946,16.58505747976789,27.31370849898476,45.93673728290915,217.0908814272409,429.09219616611654,0.147517794497524,0.4396934796749802,0.6189138682398769,0.7061931995502965,0.8201441608103688,4.0,4.0
crop1029,Kidney,Chemical,PCT brush border,4.0,1766998,12.0,278.3188964023594,366.9269885008243,18.928203230275507,31.688704263277558,80.31052757219823,421.2248934312954,819.6314390588412,0.1144862642742097,0.33720524867600304,0.49940181030199243,0.5881608241775033,0.697984378024197,4.0,4.0
crop1046,Cortex,Chemical,,2.0,1651105,6.82842712474619,25.210079512856097,14.576449860197357,8.928203230275509,12.0,22.968368641454575,33.745014848410406,46.44994432064365,0.41985579354432334,0.8356058518386171,0.9983750276330094,1.0,1.0,2.0,2.0
crop1039,Liver,Chemical,Bile canaliculus,4.0,941381,12.0,124.17864861078768,177.69884206211125,12.0,17.65685424949238,35.85780087601865,153.66247720969392,391.39018680783704,0.29360057192571337,0.5315424891728217,0.6585144590766119,0.7564747960708789,0.8668881143766445,4.0,4.0
crop1032,Kidney,Chemical,PCT base,4.0,1935545,12.0,77.19242614167993,91.35555199554493,13.65685424949238,14.928203230275509,18.60112615949154,130.69449965776144,237.98704658648637,0.5219341322469898,0.6081077939288417,0.6747882379381518,0.8019286557532891,0.987205670754232,4.0,4.0
crop1044,Liver,Chemical,Hepatocyte lateral,4.0,515879,12.0,132.57803653103372,90.05751088301665,32.823036007646785,58.45690715344331,110.8595141104315,193.73619112163158,264.58393066320025,0.02767897123162602,0.14308781710439852,0.36800102349581976,0.6578732609778649,0.9680157556326193,4.0,4.0
crop1040,Liver,Chemical,Bile canaliculus,4.0,891552,12.0,82.91070285655925,89.92671058564127,12.0,16.58505747976789,39.3008655283005,126.62768258672632,228.83749117015452,0.2968015326083055,0.5048443612935645,0.6640532464735652,0.8020283729945085,0.9818608449086537,4.0,4.0
crop1042,Liver,Chemical,Bile canaliculus,4.0,766498,12.0,86.69957814118361,67.55039514847192,27.96281913965828,38.380966322468964,52.6576560118759,126.49439905982798,193.1417390227284,0.02382915545767895,0.28172545786159914,0.6231666618830055,0.8337699511283787,0.9993046296272137,4.0,4.0
crop1036,Cortex,Chemical,,2.0,1146508,6.0,21.527732657251853,11.787665237276661,6.82842712474619,12.12899020449196,20.0,28.67953701485454,37.989017689370016,0.49967640871236835,0.9214013334403249,1.0,1.0,1.0,2.0,2.0
crop1034,Cortex,Chemical,,2.0,1643233,6.0,13.609780399654449,9.877190971517798,6.0,6.0,9.936237570137333,17.729526024783205,27.59532716735955,0.7948288526338018,0.9744199392295554,0.9999507069295711,1.0,1.0,2.0,2.0
crop1043,Liver,Chemical,Space of Disse,4.0,1578653,12.0,69.49967407188544,54.730030942060665,15.313708498984761,28.58020766040636,53.95587729322294,93.79341279203986,147.66623680215116,0.16167264116940203,0.3702105529207495,0.6810356677496575,0.9197987144736683,0.9978095249557692,4.0,4.0
crop1045,Cortex,Chemical,,2.0,1969970,6.0,16.438153994015106,11.580164545348586,6.0,6.0,12.555833735058737,23.162634459682273,33.72396871419846,0.6937151327177571,0.9601948253019081,0.999837560978086,1.0,1.0,2.0,2.0
crop1038,Liver,Chemical,Space of Disse,4.0,1072943,12.0,130.51083523557682,139.6440489473584,29.91560980209512,48.51890981469013,84.18758731592669,159.12520680414917,275.515641742763,0.024033895556427508,0.1791008469229027,0.47546700989707746,0.7516671435481661,0.9296290669681427,4.0,4.0
crop1030,Kidney,Chemical,DCT base,4.0,2256461,12.0,50.9839194741964,51.98673336568896,12.0,13.65685424949238,19.872475140274666,101.6436458225811,137.24278954738134,0.526565715073294,0.6611157914982798,0.7086215981574687,0.9712687256726351,1.0,4.0,4.0
crop1041,Liver,Chemical,Space of Disse,4.0,765727,12.0,95.77407323510053,67.32373557927642,31.122905621972617,50.642569718550575,78.83039851020922,122.51864625347073,184.66465521683062,0.04476138362627934,0.16073352513363118,0.5090404282466205,0.8548699471221467,0.9899455027705697,4.0,4.0
crop1026,Kidney,Chemical,Glomerular,4.0,2099151,12.0,116.21171335145733,76.75741165229717,33.38883464895172,56.74181688223247,96.8998886412873,165.25297492672206,228.0663993849219,0.05251885166907955,0.13221773945752355,0.40966514557552075,0.7354378031880507,0.9886830437638836,4.0,4.0
crop1027,Kidney,Chemical,Glomerular,4.0,2123095,12.0,125.05158367147367,85.47034147568263,33.14153314314416,59.712812921102035,114.40588203494178,163.16129506733344,230.20334871928353,0.045089833474243966,0.13673905312762735,0.3609056589554401,0.7332945534702875,0.959062123927568,4.0,4.0
