tissue,dataset,crop,prep,cell_id,voxels_8nm,volume_nm3,volume_um3,ecs_faces,total_faces,ecs_sa_nm2,total_sa_nm2,sa_v_ratio,sphericity
Liver,jrc_mus-liver,crop1043,Chemical,17,16857,8630784.0,0.0086,7282,7478,466048.0,478592.0,0.05399834,0.4366
Liver,jrc_mus-liver,crop1043,Chemical,18,674,345088.0,0.0003,568,568,36352.0,36352.0,0.10534125,0.6545
Liver,jrc_mus-liver,crop1043,Chemical,19,19018,9737216.0,0.0097,6367,7324,407488.0,468736.0,0.04184851,0.5412
Liver,jrc_mus-liver,crop1043,Chemical,20,5712,2924544.0,0.0029,2270,2520,145280.0,161280.0,0.04967612,0.6807
Liver,jrc_mus-liver,crop1043,Chemical,21,14294,7318528.0,0.0073,4911,6290,314304.0,402560.0,0.04294634,0.58
Liver,jrc_mus-liver,crop1043,Chemical,23,228,116736.0,0.0001,282,282,18048.0,18048.0,0.15460526,0.64
Liver,jrc_mus-liver,crop1043,Chemical,25,1062,543744.0,0.0005,788,788,50432.0,50432.0,0.09274953,0.6388
Liver,jrc_mus-liver,crop1043,Chemical,26,641,328192.0,0.0003,562,562,35968.0,35968.0,0.10959438,0.6397
Liver,jrc_mus-liver,crop1043,Chemical,27,346,177152.0,0.0002,368,368,23552.0,23552.0,0.13294798,0.6477
Liver,jrc_mus-liver,crop1043,Chemical,28,167,85504.0,0.0001,170,224,10880.0,14336.0,0.12724551,0.8627
Liver,jrc_mus-liver,crop1043,Chemical,29,1422,728064.0,0.0007,758,1042,48512.0,66688.0,0.0666315,0.8068
Liver,jrc_mus-liver,crop1043,Chemical,30,369,188928.0,0.0002,380,380,24320.0,24320.0,0.12872629,0.6547
Liver,jrc_mus-liver,crop1043,Chemical,31,506,259072.0,0.0003,482,482,30848.0,30848.0,0.11907115,0.6371
Liver,jrc_mus-liver,crop1043,Chemical,32,8736,4472832.0,0.0045,3217,3618,205888.0,231552.0,0.04603079,0.6376
Liver,jrc_mus-liver,crop1043,Chemical,33,417,213504.0,0.0002,430,430,27520.0,27520.0,0.12889688,0.6277
Liver,jrc_mus-liver,crop1043,Chemical,34,1332,681984.0,0.0007,946,946,60544.0,60544.0,0.08877628,0.6189
Liver,jrc_mus-liver,crop1043,Chemical,35,378,193536.0,0.0002,380,380,24320.0,24320.0,0.12566138,0.6653
Liver,jrc_mus-liver,crop1043,Chemical,36,535,273920.0,0.0003,490,490,31360.0,31360.0,0.11448598,0.6504
Liver,jrc_mus-liver,crop1043,Chemical,37,607,310784.0,0.0003,548,548,35072.0,35072.0,0.11285008,0.6326
Liver,jrc_mus-liver,crop1043,Chemical,39,699,357888.0,0.0004,588,588,37632.0,37632.0,0.10515021,0.6478
Liver,jrc_mus-liver,crop1043,Chemical,40,652,333824.0,0.0003,566,566,36224.0,36224.0,0.10851227,0.6424
Liver,jrc_mus-liver,crop1043,Chemical,41,433,221696.0,0.0002,428,428,27392.0,27392.0,0.12355658,0.6467
Liver,jrc_mus-liver,crop1043,Chemical,42,992,507904.0,0.0005,640,916,40960.0,58624.0,0.08064516,0.7516
Liver,jrc_mus-liver,crop1043,Chemical,43,1824,933888.0,0.0009,1128,1128,72192.0,72192.0,0.07730263,0.64
Liver,jrc_mus-liver,crop1043,Chemical,44,404,206848.0,0.0002,418,418,26752.0,26752.0,0.12933168,0.6323
Liver,jrc_mus-liver,crop1043,Chemical,45,1108,567296.0,0.0006,810,810,51840.0,51840.0,0.09138087,0.6393
Liver,jrc_mus-liver,crop1043,Chemical,46,160,81920.0,0.0001,234,234,14976.0,14976.0,0.1828125,0.6091
Liver,jrc_mus-liver,crop1043,Chemical,47,202,103424.0,0.0001,260,260,16640.0,16640.0,0.16089109,0.6403
Liver,jrc_mus-liver,crop1043,Chemical,48,155217,79471104.0,0.0795,19756,26798,1264384.0,1715072.0,0.01590998,0.707
Liver,jrc_mus-liver,crop1043,Chemical,49,762,390144.0,0.0004,492,712,31488.0,45568.0,0.08070866,0.82
Liver,jrc_mus-liver,crop1043,Chemical,50,195,99840.0,0.0001,248,248,15872.0,15872.0,0.15897436,0.6557
Liver,jrc_mus-liver,crop1043,Chemical,51,34013,17414656.0,0.0174,9616,10566,615424.0,676224.0,0.03533943,0.5279
Liver,jrc_mus-liver,crop1043,Chemical,52,872,446464.0,0.0004,508,682,32512.0,43648.0,0.0728211,0.8689
